Año Expediente,Nº Expediente,Fecha apertura,Barrio,origen,Solicita resp.,tema ,subtema,Urgencia
2014,16,1/2/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,46,1/3/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,58,1/7/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,69,1/7/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,76,1/7/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,98,1/8/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,107,1/9/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,180,1/13/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,182,1/13/2014,ABEJERAS-AZPILAGAÑA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,207,1/15/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,218,1/16/2014,ECHAVACOIZ,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,223,1/16/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,247,1/20/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,252,1/20/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,273,1/21/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,284,1/21/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,301,1/22/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,309,1/23/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,315,1/23/2014,BUZTINTXURI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,316,1/23/2014,MILAGROSA,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,342,1/23/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,343,1/24/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,351,1/24/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,354,1/24/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,378,1/27/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,379,1/27/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,385,1/28/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,389,1/28/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,405,1/28/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,408,1/28/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,441,1/29/2014,MILAGROSA,WEB,NO,Mantenimiento del espacio público,Aceras,
2014,463,1/30/2014,ECHAVACOIZ,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,465,1/30/2014,SAN JUAN,WEB,SI,Mantenimiento del espacio público,Aceras,
