barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,0,0,0,Casco Viejo
MILAGROSA-ARROSADIA,14819,1,0.007,0.3889,Milagrosa
ENSANCHE,22268,3,0.013,0.7222,Ensanche
MENDILLORRI,11303,0,0,0,Mendillorri
ECHAVACOIZ,5398,0,0,0,Echavacoiz
SAN JUAN,20478,1,0.005,0.2778,San Juan
CHANTREA,19916,1,0.005,0.2778,Chantrea
ROCHAPEA,25769,0,0,0,Rochapea
ITURRAMA,23019,2,0.009,0.5,Iturrama
SAN JORGE,11891,1,0.008,0.4444,San Jorge
AZPILAGAÑA,7699,0,0,0,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,3,0.018,1,Mendebaldea
BUZTINTXURI,8003,1,0.012,0.6667,Buztintxuri
