barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,168,1.54,1,Casco Viejo
MILAGROSA-ARROSADIA,14819,137,0.924,0.6,Milagrosa
ENSANCHE,22268,131,0.588,0.3818,Ensanche
MENDILLORRI,11303,78,0.69,0.4481,Mendillorri
ECHAVACOIZ,5398,26,0.482,0.313,Echavacoiz
SAN JUAN,20478,96,0.469,0.3045,San Juan
CHANTREA,19916,91,0.457,0.2968,Chantrea
ROCHAPEA,25769,137,0.532,0.3455,Rochapea
ITURRAMA,23019,88,0.382,0.2481,Iturrama
SAN JORGE,11891,33,0.278,0.1805,San Jorge
AZPILAGAÑA,7699,35,0.455,0.2955,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,43,0.254,0.1649,Mendebaldea
BUZTINTXURI,8003,21,0.262,0.1701,Buztintxuri
