barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,167,1.531,1,Casco Viejo
MILAGROSA-ARROSADIA,14819,197,1.329,0.8681,Milagrosa
ENSANCHE,22268,326,1.464,0.9562,Ensanche
MENDILLORRI,11303,152,1.345,0.8785,Mendillorri
ECHAVACOIZ,5398,64,1.186,0.7747,Echavacoiz
SAN JUAN,20478,266,1.299,0.8485,San Juan
CHANTREA,19916,259,1.3,0.8491,Chantrea
ROCHAPEA,25769,246,0.955,0.6238,Rochapea
ITURRAMA,23019,247,1.073,0.7008,Iturrama
SAN JORGE,11891,132,1.11,0.725,San Jorge
AZPILAGAÑA,7699,52,0.675,0.4409,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,147,0.868,0.5669,Mendebaldea
BUZTINTXURI,8003,56,0.7,0.4572,Buztintxuri
