barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,5,0.05,0.8333,Casco Viejo
MILAGROSA-ARROSADIA,14819,4,0.03,0.5,Milagrosa
ENSANCHE,22268,7,0.03,0.5,Ensanche
MENDILLORRI,11303,4,0.04,0.6667,Mendillorri
ECHAVACOIZ,5398,3,0.06,1,Echavacoiz
SAN JUAN,20478,5,0.02,0.3333,San Juan
CHANTREA,19916,4,0.02,0.3333,Chantrea
ROCHAPEA,25769,7,0.03,0.5,Rochapea
ITURRAMA,23019,9,0.04,0.6667,Iturrama
SAN JORGE,11891,1,0.01,0.1667,San Jorge
AZPILAGAÑA,7699,1,0.01,0.1667,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,4,0.02,0.3333,Mendebaldea
BUZTINTXURI,8003,2,0.02,0.3333,Buztintxuri
