barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,506,4.64,1,Casco Antiguo
MILAGROSA-ARROSADIA,14819,545,3.68,0.7931,Milagrosa
ENSANCHE,22268,714,3.21,0.6918,Ensanche
MENDILLORRI,11303,313,2.77,0.597,Mendillorri
ECHAVACOIZ,5398,137,2.54,0.5474,Echavacoiz
SAN JUAN,20478,492,2.4,0.5172,San Juan
CHANTREA,19916,456,2.29,0.4935,Chantrea
ROCHAPEA,25769,544,2.11,0.4547,Rochapea
ITURRAMA,23019,475,2.06,0.444,Iturrama
SAN JORGE,11891,221,1.86,0.4009,San Jorge
AZPILAGAÑA,7699,135,1.75,0.3772,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,283,1.67,0.3599,Mendebaldea
BUZTINTXURI,8003,104,1.3,0.2802,Buztintxuri
