barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,49,0.449,0.4967,Casco Viejo
MILAGROSA-ARROSADIA,14819,134,0.904,1,Milagrosa
ENSANCHE,22268,96,0.431,0.4768,Ensanche
MENDILLORRI,11303,18,0.159,0.1759,Mendillorri
ECHAVACOIZ,5398,18,0.333,0.3684,Echavacoiz
SAN JUAN,20478,44,0.215,0.2378,San Juan
CHANTREA,19916,40,0.201,0.2223,Chantrea
ROCHAPEA,25769,49,0.19,0.2102,Rochapea
ITURRAMA,23019,59,0.256,0.2832,Iturrama
SAN JORGE,11891,17,0.143,0.1582,San Jorge
AZPILAGAÑA,7699,20,0.26,0.2876,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,43,0.254,0.281,Mendebaldea
BUZTINTXURI,8003,8,0.1,0.1106,Buztintxuri
